,temperature_2m_max,temperature_2m_max,temperature_2m_max,temperature_2m_max,temperature_2m_min,temperature_2m_min,temperature_2m_min,temperature_2m_min,apparent_temperature_max,apparent_temperature_max,apparent_temperature_max,apparent_temperature_max,apparent_temperature_min,apparent_temperature_min,apparent_temperature_min,apparent_temperature_min,precipitation_sum,precipitation_sum,precipitation_sum,precipitation_sum,rain_sum,rain_sum,rain_sum,rain_sum,weather_code,weather_code,weather_code,weather_code,wind_speed_10m_max,wind_speed_10m_max,wind_speed_10m_max,wind_speed_10m_max,wind_gusts_10m_max,wind_gusts_10m_max,wind_gusts_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,wind_direction_10m_dominant,wind_direction_10m_dominant,wind_direction_10m_dominant
,mean,min,max,sum,mean,min,max,sum,mean,min,max,sum,mean,min,max,sum,mean,min,max,sum,mean,min,max,sum,mean,min,max,sum,mean,min,max,sum,mean,min,max,sum,mean,min,max,sum
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,25.71331612903226,13.5,34.3,199278.2,14.057870967741936,2.0,25.4,108948.5,25.481161290322582,10.9,37.1,197479.0,13.441045161290324,-0.6,29.1,104168.1,0.32650322580645164,0.0,47.5,2530.4,0.32650322580645164,0.0,47.5,2530.4,7.091483870967742,0,65,54959,13.191406451612902,4.9,32.5,102233.4,27.358090322580647,10.8,56.2,212025.2,170.28567741935484,0,360,1319714
2,28.6681612446959,14.9,36.9,202683.9,16.10930693069307,3.7,25.9,113892.8,28.863026874115985,12.3,39.1,204061.6,15.853536067892504,-0.1,29.8,112084.5,0.35646393210749644,0.0,50.2,2520.2,0.35646393210749644,0.0,50.2,2520.2,7.184016973125884,0,65,50791,14.151739745403113,5.0,31.8,100052.8,29.21984441301273,12.2,62.6,206584.3,188.24809052333805,0,360,1330914
3,32.6996,18.1,41.5,253421.9,19.72067096774194,7.3,28.2,152835.2,33.61978064516129,15.1,45.0,260553.3,20.281329032258064,2.8,33.6,157180.3,0.41438709677419355,0.0,56.4,3211.5,0.41438709677419355,0.0,56.4,3211.5,9.590709677419355,0,65,74328,15.331406451612903,5.7,38.5,118818.4,31.62450322580645,14.4,73.1,245089.9,208.904,0,360,1619006
4,36.046279999999996,25.1,44.5,270347.1,23.441119999999998,15.0,29.9,175808.4,37.78530666666666,26.4,47.1,283389.8,24.9902,11.6,34.8,187426.5,0.5557066666666667,0.0,50.4,4167.8,0.5557066666666667,0.0,50.4,4167.8,13.3228,0,65,99921,16.802413333333334,4.2,37.0,126018.1,34.44732,14.8,67.3,258354.9,222.9104,0,360,1671828
5,36.75291612903226,21.5,46.4,284835.1,25.745535483870967,17.6,32.8,199527.9,39.45527741935484,22.4,49.4,305778.4,28.249122580645164,12.8,36.4,218930.7,1.396490322580645,0.0,199.9,10822.8,1.396490322580645,0.0,199.9,10822.8,21.53058064516129,0,65,166862,18.134645161290322,5.4,68.9,140543.5,37.078335483870966,14.8,142.9,287357.1,227.56941935483871,0,360,1763663
6,33.95261333333333,21.2,45.7,254644.6,26.100160000000002,17.8,34.4,195751.2,37.439733333333336,21.9,48.6,280798.0,29.32604,18.7,37.8,219945.3,5.359546666666667,0.0,234.6,40196.6,5.359546666666667,0.0,234.6,40196.6,40.1344,0,65,301008,19.237586666666665,5.4,58.6,144281.9,39.318173333333334,13.0,106.9,294886.3,222.5364,0,360,1669023
7,30.64157419354839,22.0,42.7,237472.2,24.958,17.8,32.6,193424.5,34.636993548387096,22.0,47.3,268436.7,28.507341935483872,17.4,36.5,220931.9,9.693316129032258,0.0,339.9,75123.2,9.693316129032258,0.0,339.9,75123.2,52.141548387096776,0,65,404097,18.880206451612903,5.2,39.3,146321.6,39.04446451612903,13.0,81.0,302594.6,214.59212903225807,2,360,1663089
8,29.897109677419355,20.8,39.6,231702.6,24.359793548387096,17.5,31.5,188788.4,34.14209032258065,20.9,44.4,264601.2,27.97829677419355,17.7,35.7,216831.8,7.987638709677419,0.0,190.6,61904.2,7.987638709677419,0.0,190.6,61904.2,51.209161290322584,0,65,396871,17.506025806451614,4.3,48.1,135671.7,36.277741935483874,14.4,85.3,281152.5,219.68658064516129,0,360,1702571
